item_code,item,parent_raw_item_code,parent_raw_item,commodity_class,include
399,Eggplants (aubergines),,,crop,TRUE
401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,,crop,TRUE
402,"Onions and shallots, green",,,crop,TRUE
406,Green garlic,,,crop,TRUE
407,Leeks and other alliaceous vegetables,,,crop,TRUE
417,"Peas, green",,,crop,TRUE
420,"Broad beans and horse beans, green",,,crop,TRUE
423,String beans,,,crop,TRUE
426,Carrots and turnips,,,crop,TRUE
430,Okra,,,crop,TRUE
446,Green corn (maize),,,crop,TRUE
447,"Sweet corn, frozen",,,crop,TRUE
448,"Sweet corn, prepared or preserved",,,crop,TRUE
450,Dried mushrooms,,,crop,TRUE
451,Canned mushrooms,,,crop,TRUE
461,Locust beans (carobs),,,crop,TRUE
469,"Vegetables, dehydrated",,,crop,TRUE
471,"Vegetables, pulses and potatoes, preserved by vinegar or acetic acid",,,crop,FALSE
472,Vegetables preserved nes (o/t vinegar),,,crop,FALSE
473,Vegetables frozen,,,crop,TRUE
475,Vegetables preserved (frozen),,,crop,FALSE
476,Homogenized vegetable preparations,,,livestock,FALSE
486,Bananas,,,crop,TRUE
489,Plantains and cooking bananas,,,crop,TRUE
490,Oranges,,,crop,TRUE
491,Orange juice,490,Oranges,byproduct,TRUE
492,"Orange juice, concentrated",,,byproduct,FALSE
495,"Tangerines, mandarins, clementines",,,crop,TRUE
496,Juice of tangerine,,,crop,TRUE
497,Lemons and limes,,,crop,TRUE
498,Juice of lemon,,,crop,TRUE
499,"Lemon juice, concentrated",,,byproduct,FALSE
507,Pomelos and grapefruits,,,crop,TRUE
509,Grapefruit juice,509,Grapefruit juice,byproduct,TRUE
510,"Grapefruit juice, concentrated",,,byproduct,FALSE
515,Apples,,,crop,TRUE
517,Cider and other fermented beverages,,,crop,TRUE
518,Apple juice,515,Apples,byproduct,TRUE
519,"Apple juice, concentrated",,,byproduct,FALSE
521,Pears,,,crop,TRUE
523,Quinces,,,crop,TRUE
526,Apricots,,,crop,TRUE
527,"Apricots, dried",526,Apricots,byproduct,TRUE
530,Sour cherries,,,crop,TRUE
531,Cherries,,,crop,TRUE
534,Peaches and nectarines,,,crop,TRUE
536,Plums and sloes,,,crop,TRUE
537,"Plums, dried",536,Plums and sloes,byproduct,TRUE
544,Strawberries,,,crop,TRUE
547,Raspberries,,,crop,TRUE
549,Gooseberries,,,crop,TRUE
550,Currants,,,crop,TRUE
552,Blueberries,,,crop,TRUE
554,Cranberries,,,crop,TRUE
560,Grapes,,,crop,TRUE
561,Raisins,,,crop,TRUE
562,Grape juice,509,Grapefruit juice,byproduct,TRUE
563,Must of grape,,,crop,TRUE
565,Vermouth and other wine of fresh grapes flavoured with plats or aromatic substances,,,crop,FALSE
567,Watermelons,,,crop,TRUE
568,Cantaloupes and other melons,,,crop,TRUE
569,Figs,,,crop,TRUE
570,"Figs, dried",569,Figs,byproduct,TRUE
571,"Mangoes, guavas and mangosteens",,,crop,TRUE
572,Avocados,,,crop,TRUE
574,Pineapples,,,crop,TRUE
575,"Pineapples, otherwise prepared or preserved",,,crop,TRUE
576,Pineapple juice,574,Pineapples,byproduct,TRUE
577,Dates,,,crop,TRUE
580,"Juice of pineapples, concentrated",580,"Juice of pineapples, concentrated",byproduct,TRUE
583,Juice of mango,,,crop,TRUE
