admin0_name,admin1_name,severity,vop_total,exp_hist,exp_2050,d_pp,yw_base,yw_pct,irr_pct
Cameroon,Est,extreme,25838023.57,0,0.0633794607224286,0.0633794607224286,9.42764500935113,-13.6427262134024,-13.4720379088692
Cameroon,Extrême-Nord,extreme,96412073.51,24.3724692816224,38.9898211203818,14.6173518387593,5.08741877277234,-11.2289189624521,-11.8702073025272
Cameroon,Nord,extreme,151090888.77,0.021883516781963,1.39685458016781,1.37497106338585,7.3019658507667,-19.3692471228058,-14.8401281261529
Cameroon,Nord-Ouest,extreme,78016936.16,28.9739204236907,34.1525754681726,5.17865504448182,12.3479668608552,-13.6923752105765,-14.4335629655431
Cameroon,Ouest,extreme,114822613.8,2.15168329498523,2.43294757674294,0.281264281757711,10.6081174950751,-13.1508248449773,-12.9241510922878
Cameroon,Sud,extreme,36745050.25,4.92202892007203,5.28128819200621,0.359259271934183,9.99316364785824,-16.7531132025306,-14.3258302446806
Cameroon,Sud-Ouest,extreme,72181908.8,48.6423642484777,49.7024969226084,1.06013267413066,7.93092122314986,-16.2346624155386,-18.2537259292624
Chad,Barh-El-Gazel,extreme,272333.25,100,100,0,2.65283300124089,27.2990844042048,-4.97549735793049
Chad,Chari-Baguirmi,extreme,19378412.49,60.7725891172833,79.7160397322103,18.943450614927,4.23716526576365,-4.3481511280734,-9.21012290859552
Chad,Guéra,extreme,851496.93,64.4885472458486,88.634846869031,24.1462996231824,4.28279825835736,-6.21027812228163,-9.52164389963121
Chad,Hadjer-Lamis,extreme,2679749.42,100,99.8584039249461,-0.141596075053911,2.49522436376498,30.5307977678096,-5.73621057824696
Chad,Lac,extreme,2559322.01,99.9999996092715,99.9999996092715,0,1.95883735549848,45.7492083754348,-5.15246391955667
Chad,Logone Occidental,extreme,4761500.91,0,0.519269038635971,0.519269038635971,7.36742174146509,-18.8984541368383,-15.7766625929948
Chad,Logone Oriental,extreme,6791236.68,0,3.09258843265642,3.09258843265642,7.40420854017604,-18.7666549316128,-15.5027589067939
Chad,Mandoul,extreme,2162188.99,0,11.8156183932839,11.8156183932839,6.42594641094928,-19.1236570354743,-14.7816827376397
Chad,Mayo-Kebbi Est,extreme,11034052.27,14.1876978801008,33.7237662913482,19.5360684112474,5.43284802430211,-15.4316014019975,-12.8601486588325
Chad,Mayo-Kebbi Ouest,extreme,15786559.34,0.279775973020857,0.69628218304344,0.416506210022583,6.85767027755794,-18.76526103692,-15.2438358696174
Chad,Moyen-Chari,extreme,7581169.68,0.0485413221881613,26.9658388651182,26.9172975429301,5.88148240577008,-19.586309834326,-13.828143986555
Chad,N'Djamena,extreme,1568348.22,92.4429269923232,93.4511852221186,1.00825822979542,2.25164444797807,36.1913415351533,-5.85539574210446
Chad,Ouaddaï,extreme,16749324.25,78.4218384213321,75.6058860105953,-2.8159524107368,3.73143400581049,6.82447713241729,-7.77492778090428
Chad,Salamat,extreme,17349144.51,26.5807400321205,67.309497556315,40.7287575241945,4.96918535504435,-17.4082216157751,-13.0934581048558
Chad,Sila,extreme,18556222.08,34.7155362348412,62.1745253439002,27.458989109059,5.17311977927301,-9.95748115018367,-11.262640982854
Chad,Tandjilé,extreme,4453464.81,0,21.7831518017541,21.7831518017541,6.20329331569885,-18.8983929616793,-14.6137513419477
Eritrea,Anseba,extreme,3283616.29,90.8614995328824,73.1241347325634,-17.737364800319,4.75618553664376,-10.4515878251194,-13.8147242142047
Eritrea,Debub,extreme,7668778.86,53.0096912978398,30.8236427618151,-22.1860485360247,7.93599024589469,-2.5717173858951,-14.7057871215895
Eritrea,Gash Barka,extreme,8866394.39,69.6892640707358,64.5063229586384,-5.18294111209731,5.0639319140537,-11.1097894934665,-13.235247954188
Eritrea,Maekel,extreme,1388280.14,93.315316028363,67.4825615527425,-25.8327544756205,4.19429111035445,19.5288415105182,-14.9926498135265
